Publication date,Compute_Log10,Parameters,Domain,Organization,Region
2024-02-12,22.59,1474624.0,Science & Engineering,"Wolfram Research,ASC27,Newport High School,Sanskriti School",United States
2024-02-07,22.02,270000000.0,Robotics & Games,DeepMind,Europe
2024-02-06,22.01,643000000.0,Science & Engineering,Microsoft Research,United States
2024-02-05,23.01,7000000000.0,Language & Audio,"DeepSeek,Tsinghua University,Peking University",China
2024-02-04,24.11,72000000000.0,Language & Audio,Alibaba,China
2024-02-04,23.23,7000000000.0,Language & Audio,Alibaba,China
2024-02-04,23.53,14000000000.0,Language & Audio,Alibaba,China
2024-02-01,23.01,7000000000.0,Language & Audio,"Allen Institute for AI,University of Washington",United States
2024-02-01,22.08,1000000000.0,Language & Audio,"Allen Institute for AI,University of Washington",United States
2024-01-30,20.41,34750000000.0,Multimodal,"University of Wisconsin Madison,ByteDance,Nanyang Technological University,University of California (UC) Berkeley",United States
2024-01-29,24.1,70000000000.0,Language & Audio,Meta AI,United States
2024-01-26,21.88,1137000000.0,Science & Engineering,Max Planck Institute of Biochemistry,Europe
2024-01-25,23.6,33000000000.0,Language & Audio,"DeepSeek,Peking University",China
2024-01-25,22.19,1300000000.0,Language & Audio,"DeepSeek,Peking University",China
2024-01-25,22.91,6700000000.0,Language & Audio,"DeepSeek,Peking University",China
2024-01-23,22.27,34000000000.0,Multimodal,01.AI,China
2024-01-18,22.28,1644417024.0,Language & Audio,Stability AI,Europe
2024-01-15,21.4,1700000000.0,Science & Engineering,Tianjin Medical University,China
2024-01-15,23.24,14000000000.0,Multimodal,"Shanghai AI Lab,Nanjing University,The University of Hong Kong,Tsinghua University,SenseTime,University of Science and Technology of China (USTC)",China
2024-01-12,23.49,20000000000.0,Language & Audio,"Shanghai AI Lab,SenseTime,Chinese University of Hong Kong (CUHK),Fudan University",China
2024-01-11,22.53,16000000000.0,Language & Audio,DeepSeek,China
2024-01-09,22.32,2796431360.0,Language & Audio,Stability AI,Europe
2024-01-08,19.2,16800000.0,Science & Engineering,"University of Oxford,Massachusetts Institute of Technology (MIT),Microsoft Research AI for Science",Europe
2024-01-05,23.91,67000000000.0,Language & Audio,DeepSeek,China
2024-01-05,21.59,1300000000.0,Language & Audio,DeepSeek,China
2024-01-05,22.92,7000000000.0,Language & Audio,DeepSeek,China
2024-01-03,23.2,13000000000.0,Science & Engineering,"University of California Santa Barbara (UCSB),University of Lincoln,Chinese Academy of Agricultural Sciences,Swedish University of Agricultural Sciences",United States
2023-12-23,22.54,11000000000.0,Language & Audio,Google Research,United States
2023-12-22,23.68,30000000000.0,Language & Audio,Yayi (Wenge),China
2023-12-14,22.83,18000000000.0,Multimodal,"Tsinghua University,Z.ai (Zhipu AI)",China
2023-12-14,23.59,15000000000.0,Multimodal,Google DeepMind,United States
2023-12-12,22.36,2700000000.0,Language & Audio,Microsoft,United States
2023-12-12,21.36,13350839296.0,Multimodal,"NVIDIA,Massachusetts Institute of Technology (MIT)",United States
2023-12-11,23.89,46700000000.0,Language & Audio,Mistral AI,Europe
2023-12-11,20.3,11900000000.0,Vision & Media,Sber,Europe
2023-12-08,24.1,65000000000.0,Language & Audio,"XVERSE Technology,Shenzhen Yuanxiang Technology",China
2023-12-07,23.2,7000000000.0,Language & Audio,Meta AI,United States
2023-12-01,21.73,2800000000.0,Language & Audio,"Carnegie Mellon University (CMU),Princeton University",United States
2023-11-30,24.11,72000000000.0,Language & Audio,Alibaba,China
2023-11-30,23.39,13000000000.0,Language & Audio,IBM,United States
2023-11-27,23.25,102600000000.0,Language & Audio,Inspur,China
2023-11-27,19.9,7000000000.0,Language & Audio,"Together,Nous Research",United States
2023-11-21,22.66,13000000000.0,Language & Audio,Microsoft Research,United States
2023-11-15,23.26,8000000000.0,Language & Audio,NVIDIA,United States
2023-11-13,22.48,19900000000.0,Multimodal,"Shanghai AI Lab,Chinese University of Hong Kong (CUHK),ShanghaiTech University",China
2023-11-08,21.36,100000000.0,Science & Engineering,"IBM,NASA",United States
2023-11-08,19.29,1000000000.0,Language & Audio,"Shanghai AI Lab,Massachusetts Institute of Technology (MIT)",China
2023-11-08,23.02,30000000000.0,Language & Audio,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42,G42",United States
2023-11-08,18.33,110000000.0,Language & Audio,Zhuiyi Technology,China
2023-11-06,23.43,1550000000.0,Language & Audio,OpenAI,United States
2023-11-06,22.8,17000000000.0,Multimodal,"Tsinghua University,Z.ai (Zhipu AI),Beihang University",China
2023-11-05,22.89,13000000000.0,Multimodal,"University of Wisconsin Madison,Microsoft Research",United States
2023-11-04,24.46,314000000000.0,Language & Audio,xAI,United States
2023-11-02,23.79,34000000000.0,Language & Audio,01.AI,China
2023-11-02,23.62,70000000000.0,Language & Audio,vivo AI lab,China
2023-11-02,23.89,130000000000.0,Language & Audio,vivo AI lab,China
2023-11-02,24.02,175000000000.0,Language & Audio,vivo AI lab,China
2023-11-02,23.1,6000000000.0,Language & Audio,01.AI,China
2023-11-01,23.38,16000000000.0,Language & Audio,Nanbeige LLM Lab,China
2023-11-01,20.28,13000000000.0,Language & Audio,"Nous Research,EleutherAI,University of Geneva",United States
2023-11-01,21.01,70000000000.0,Language & Audio,"Nous Research,EleutherAI,University of Geneva",United States
2023-10-31,23.04,7000000000.0,Language & Audio,vivo AI lab,China
2023-10-30,23.4,13000000000.0,Language & Audio,Kunlun Inc.,China
2023-10-30,20.07,500000000.0,Language & Audio,"Peking University,Microsoft Research Asia",China
2023-10-27,22.7,6000000000.0,Multimodal,Z.ai (Zhipu AI),China
2023-10-26,18.9,75000000.0,Language & Audio,"Microsoft,Microsoft Research",United States
2023-10-20,22.0,86000000.0,Vision & Media,"ETH Zurich,DeepMind,Google,Technical University of Munich",Europe
2023-10-16,23.73,34000000000.0,Multimodal,"Princeton University,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington,EleutherAI",United States
2023-10-16,23.07,7000000000.0,Multimodal,"Princeton University,EleutherAI,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington",United States
2023-10-12,23.22,13900000000.0,Language & Audio,China Mobile,China
2023-10-10,23.49,13000000000.0,Language & Audio,Ant Group,China
2023-10-07,23.2,13000000000.0,Language & Audio,"University of California Los Angeles (UCLA),Columbia University,New York University (NYU)",United States
2023-10-02,22.44,7000000000.0,Multimodal,Zhejiang University (ZJU),China
2023-10-02,20.52,1300000000.0,Language & Audio,Microsoft Research,United States
2023-09-30,21.19,600000000.0,Vision & Media,"Huawei Noah's Ark Lab,The University of Hong Kong,Hong Kong University of Science and Technology (HKUST)",China
2023-09-29,22.79,2795443200.0,Language & Audio,Stability AI,Europe
2023-09-29,21.92,1000000000.0,Vision & Media,"Technische Hochschule Ingolstadt,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Polytechnique Montreal,Wand Technologies",Europe
2023-09-29,22.07,9000000000.0,Multimodal,Wayve,Europe
2023-09-28,23.4,14000000000.0,Language & Audio,Alibaba,China
2023-09-28,24.68,200000000000.0,Multimodal,Amazon,United States
2023-09-28,23.0,7000000000.0,Language & Audio,Alibaba,China
2023-09-26,21.72,7000000000.0,Multimodal,Shanghai AI Lab,China
2023-09-20,21.99,2600000000.0,Language & Audio,Cerebras Systems,United States
2023-09-20,20.88,7000000000.0,Multimodal,"Xi’an Jiaotong University,Megvii Inc,Tsinghua University,Huazhong University of Science and Technology",China
2023-09-20,23.04,7000000000.0,Language & Audio,Baichuan,China
2023-09-20,22.89,13000000000.0,Language & Audio,"Tsinghua University,Shanghai AI Lab,01.AI",China
2023-09-11,21.07,1300000000.0,Language & Audio,Microsoft,United States
2023-09-09,22.21,10700000000.0,Language & Audio,"Google DeepMind,Google Research",United States
2023-09-07,22.61,9300000000.0,Language & Audio,Adept,United States
2023-09-07,22.76,101000000000.0,Language & Audio,"Chinese Academy of Sciences,Harbin Institute of Technology,Nanyang Technological University,Beijing Academy of Artificial Intelligence / BAAI",China
2023-09-07,22.9,6700000000.0,Language & Audio,Salesforce,United States
2023-09-07,24.08,100000000000.0,Multimodal,Tencent,China
2023-09-06,23.31,13000000000.0,Language & Audio,Baichuan,China
2023-09-06,24.01,70000000000.0,Language & Audio,Tigerobo,China
2023-08-30,16.73,56804.0,Robotics & Games,Intel Labs,United States
2023-08-29,22.69,13000000000.0,Language & Audio,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42",United States
2023-08-29,22.06,1600000000.0,Language & Audio,Refact AI,Europe
2023-08-29,24.08,100000000000.0,Other,Mianbi Intelligence,China
2023-08-23,21.76,6700000000.0,Language & Audio,Hungarian Research Centre for Linguistics,Europe
2023-08-23,19.41,2700000.0,Science & Engineering,Ohio State University,United States
2023-08-22,23.06,80000000000.0,Multimodal,Hugging Face,United States
2023-08-14,23.72,34000000000.0,Language & Audio,Meta AI,United States
2023-08-14,23.04,7000000000.0,Language & Audio,Meta AI,United States
2023-08-10,22.5,7000000000.0,Language & Audio,Stability AI,Europe
2023-08-09,23.92,53000000000.0,Language & Audio,Baichuan,China
2023-08-06,19.36,14800000.0,Science & Engineering,"Nostrum Biodiscovery,Barcelona Supercomputing Center,Institucio Catalana de Recerca i Estudis Avancçats",Europe
2023-08-05,22.65,6890209280.0,Language & Audio,Stability AI,Europe
2023-07-26,18.59,1500000000.0,Language & Audio,Google Research,United States
2023-07-23,20.15,6900000.0,Science & Engineering,"ByteDance,University of Wisconsin Madison",China
2023-07-18,23.91,70000000000.0,Language & Audio,Meta AI,United States
2023-07-18,23.61,34000000000.0,Language & Audio,Meta AI,United States
2023-07-18,22.92,7000000000.0,Language & Audio,Meta AI,United States
2023-07-18,23.2,13000000000.0,Language & Audio,Meta AI,United States
2023-07-17,21.6,6700000000.0,Language & Audio,"Microsoft Research,Tsinghua University",United States
2023-07-11,21.43,14000000000.0,Multimodal,"Beijing Academy of Artificial Intelligence / BAAI,Tsinghua University,Peking University",China
2023-07-11,22.97,13264901120.0,Language & Audio,Baichuan,China
2023-07-06,24.0,104000000000.0,Language & Audio,"Shanghai AI Lab,SenseTime",China
2023-07-06,22.77,7000000000.0,Language & Audio,Salesforce,United States
2023-07-06,23.79,100000000000.0,Science & Engineering,"Tsinghua University,BioMap Research",China
2023-07-05,22.6,256000000.0,Science & Engineering,Huawei,China
2023-07-05,21.69,2700000000.0,Language & Audio,"Microsoft,Xi’an Jiaotong University",United States
2023-06-30,18.53,560000000.0,Language & Audio,Microsoft,United States
2023-06-27,21.26,6600000.0,Science & Engineering,"Stanford University,Harvard University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",United States
2023-06-26,20.66,1600000000.0,Multimodal,Microsoft,United States
2023-06-22,23.28,30000000000.0,Language & Audio,MosaicML,United States
2023-06-15,20.24,1300000000.0,Vision & Media,"Google Research,University of Cambridge",United States
2023-06-14,23.05,15500000000.0,Language & Audio,Microsoft,United States
2023-06-06,22.61,6900000000.0,Language & Audio,Together,United States
2023-06-06,11.87,9888.0,Vision & Media,"University of California (UC) Berkeley,Toyota Technological Institute at Chicago",United States
2023-06-05,14.21,8400000.0,Science & Engineering,"Technical University of Denmark,University of Copenhagen",Europe
2023-06-04,22.11,12898631680.0,Language & Audio,EleutherAI,United States
2023-06-01,22.7,7000559616.0,Language & Audio,Baichuan,China
2023-05-31,20.22,92000000.0,Language & Audio,Pinterest,United States
2023-05-29,23.75,55000000000.0,Multimodal,Google Research,United States
2023-05-23,23.74,65000000000.0,Language & Audio,University of Washington,United States
2023-05-18,20.26,4000000000.0,Multimodal,"Alibaba,Huazhong University of Science and Technology",China
2023-05-18,23.74,65000000000.0,Language & Audio,"Meta AI,Carnegie Mellon University (CMU),University of Southern California,Tel Aviv University",United States
2023-05-16,22.4,10000000000.0,Language & Audio,WeChat AI,China
2023-05-11,20.29,13000000000.0,Multimodal,"Salesforce Research,Hong Kong University of Science and Technology (HKUST),Nanyang Technological University",United States
2023-05-10,24.87,340000000000.0,Language & Audio,Google,United States
2023-05-09,22.93,15500000000.0,Language & Audio,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",United States
2023-05-05,22.62,7000000000.0,Language & Audio,MosaicML,United States
2023-05-01,22.89,13000000000.0,Language & Audio,OpenLM Research,United States
2023-04-28,22.03,1289952427.0,Vision & Media,Databricks,United States
2023-04-24,22.6,6700000000.0,Language & Audio,"Microsoft,Peking University",United States
2023-04-24,23.03,13000000000.0,Language & Audio,Sber,Europe
2023-04-19,22.82,16000000000.0,Language & Audio,Fudan University,China
2023-04-17,22.89,13000000000.0,Multimodal,"University of Wisconsin Madison,Microsoft Research,Columbia University",United States
2023-04-14,21.87,1140000000.0,Vision & Media,"Facebook AI Research,INRIA",United States
2023-04-09,21.48,6700000000.0,Language & Audio,"Facebook AI Research,University of Washington,University of California (UC) Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago",United States
2023-04-08,20.35,1000000000.0,Science & Engineering,Harvard University,United States
2023-04-08,16.55,1620000.0,Science & Engineering,"Technical University of Munich,Massachusetts Institute of Technology (MIT)",Europe
2023-04-06,22.36,13000000000.0,Language & Audio,Cerebras Systems,United States
2023-04-05,21.89,636000000.0,Vision & Media,Meta AI,United States
2023-04-03,22.33,12000000000.0,Language & Audio,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States
2023-04-03,21.7,2800000000.0,Language & Audio,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States
2023-04-03,22.09,6900000000.0,Language & Audio,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States
2023-04-03,20.46,160000000.0,Language & Audio,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States
2023-04-03,21.26,1000000000.0,Language & Audio,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States
2023-04-03,21.4,1400000000.0,Language & Audio,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States
2023-04-03,20.1,70000000.0,Language & Audio,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States
2023-04-03,20.87,410000000.0,Language & Audio,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",United States
2023-03-30,23.37,50558868480.0,Language & Audio,"Bloomberg,Johns Hopkins University",United States
2023-03-29,21.99,1000000000.0,Vision & Media,"Nanjing University,Shenzhen Institute of Advanced Technology,Shanghai AI Lab",China
2023-03-28,22.67,24000000000.0,Vision & Media,"Baidu,Wuhan University of Science and Technology",China
2023-03-27,21.69,400000000.0,Vision & Media,Google DeepMind,United States
2023-03-27,22.54,5000000000.0,Vision & Media,"Beijing Academy of Artificial Intelligence / BAAI,Huazhong University of Science and Technology",China
2023-03-24,22.78,10000000000.0,Language & Audio,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)",China
2023-03-21,18.27,1300000000.0,Language & Audio,Cerebras Systems,United States
2023-03-21,23.38,40000000000.0,Language & Audio,LightOn,Europe
2023-03-20,23.67,1085000000000.0,Language & Audio,Huawei Noah's Ark Lab,China
2023-03-15,25.32,1800000000000.0,Multimodal,OpenAI,United States
2023-03-15,25.32,1800000000000.0,Multimodal,OpenAI,United States
2023-03-07,21.08,700000000.0,Language & Audio,Microsoft,United States
2023-03-05,21.98,1000000000.0,Language & Audio,"Meta AI,Hebrew University of Jerusalem",United States
2023-03-02,20.78,675000000.0,Vision & Media,"New York University (NYU),University of California (UC) Berkeley",United States
2023-03-01,22.98,20000000000.0,Language & Audio,Writer,United States
2023-03-01,22.89,40000000000.0,Language & Audio,AI Sweden,Europe
2023-03-01,21.54,1600000000.0,Multimodal,Microsoft,United States
2023-02-27,22.89,13000000000.0,Language & Audio,Meta AI,United States
2023-02-27,23.44,32500000000.0,Language & Audio,Meta AI,United States
2023-02-24,23.74,65200000000.0,Language & Audio,Meta AI,United States
2023-02-24,22.6,6700000000.0,Language & Audio,Meta AI,United States
2023-02-21,19.68,1300000000.0,Language & Audio,"Stanford University,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",United States
2023-02-21,19.59,355000000.0,Language & Audio,"Stanford University,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",United States
2023-02-21,19.27,153000000.0,Language & Audio,"Stanford University,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",United States
2023-02-10,23.29,21743000000.0,Vision & Media,Google,United States
2023-01-30,21.08,1480000000.0,Multimodal,Salesforce Research,United States
2023-01-29,21.26,4100000.0,Science & Engineering,Columbia University,United States
2023-01-27,20.54,295000000.0,Vision & Media,Utrecht University,Europe
2023-01-18,21.45,533000000.0,Robotics & Games,DeepMind,Europe
2023-01-16,21.81,1900000000.0,Science & Engineering,"Technical University of Munich,Columbia University",Europe
2023-01-16,21.41,740000000.0,Science & Engineering,"Technical University of Munich,Columbia University",Europe
2023-01-15,21.91,2500000000.0,Science & Engineering,"NVIDIA,Technical University of Munich,InstaDeep",United States
2023-01-10,20.34,200000000.0,Robotics & Games,"DeepMind,University of Toronto",Europe
2023-01-09,21.32,1100000000.0,Language & Audio,"Hugging Face,ServiceNow,Massachusetts Institute of Technology (MIT),Wellesley College,Saama,EleutherAI,Huawei Noah's Ark Lab,Carnegie Mellon University (CMU)",United States
2023-01-05,19.0,353000000.0,Multimodal,Microsoft,United States
2023-01-02,23.2,87500000000.0,Language & Audio,"Institute of Science and Technology Austria (ISTA),Neural Magic",Europe
2022-12-28,21.81,2700000000.0,Language & Audio,"Stanford University,University at Buffalo",United States
2022-12-22,23.63,175000000000.0,Language & Audio,Meta AI,United States
2022-12-19,19.46,86000000.0,Science & Engineering,University of Oxford,Europe
2022-12-05,23.04,1550000000.0,Language & Audio,OpenAI,United States
2022-12-04,22.89,6000000000.0,Language & Audio,"Wuhan University,JD Explore Academy,Shanghai AI Lab,Nanyang Technological University,Washington University in St Louis,Chongqing University of Posts and Telecommunications,University of Sydney",China
2022-12-01,18.89,185200000.0,Language & Audio,Nanjing University,China
2022-12-01,21.7,738000000.0,Science & Engineering,"Basecamp Research,Friedrich-Alexander-Universität,University of Girona",Europe
2022-11-20,20.71,1500000000.0,Vision & Media,"Alibaba,University of Waterloo,Vector Institute",China
2022-11-16,23.51,120000000000.0,Multimodal,Meta AI,United States
2022-11-14,22.18,1011000000.0,Vision & Media,"Beijing Academy of Artificial Intelligence / BAAI,Huazhong University of Science and Technology,Zhejiang University (ZJU),Beijing Institute of Technology",China
2022-11-10,21.38,1080000000.0,Vision & Media,"Shanghai AI Lab,Tsinghua University,Nanjing University,SenseTime,Chinese University of Hong Kong (CUHK)",China
2022-11-03,17.15,35000000.0,Language & Audio,DeepMind,Europe
2022-11-03,16.85,24000000.0,Language & Audio,DeepMind,Europe
2022-11-02,19.74,9100000000.0,Vision & Media,NVIDIA,United States
2022-10-31,22.71,1000000000.0,Vision & Media,IDEA CCNL,China
2022-10-26,21.86,2000000000.0,Language & Audio,Microsoft,United States
2022-10-24,17.99,107700000.0,Language & Audio,"Johns Hopkins University,New York University (NYU)",United States
2022-10-20,24.4,540000000000.0,Language & Audio,Google,United States
2022-10-20,24.4,540000000000.0,Language & Audio,Google,United States
2022-10-20,22.52,11000000000.0,Language & Audio,Google,United States
2022-10-12,20.9,31000000.0,Language & Audio,"Huawei,Huawei Noah's Ark Lab",China
2022-10-11,21.15,25000000000.0,Science & Engineering,"University of Chicago,NVIDIA,Harvard University,Cerebras Systems,Technical University of Munich,California Institute of Technology",United States
2022-10-04,19.86,20240000.0,Science & Engineering,Massachusetts Institute of Technology (MIT),United States
2022-10-03,20.08,124000000.0,Language & Audio,New York University (NYU),United States
2022-09-22,22.3,10000000000.0,Language & Audio,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)",China
2022-09-21,21.62,1550000000.0,Language & Audio,OpenAI,United States
2022-09-15,22.89,986000000.0,Vision & Media,LAION,Europe
2022-09-14,23.23,16900000000.0,Multimodal,Google,United States
2022-08-22,19.85,1900000000.0,Multimodal,Microsoft,United States
2022-08-15,23.55,70000000000.0,Language & Audio,Aleph Alpha,Europe
2022-08-15,23.0,30000000000.0,Language & Audio,Aleph Alpha,Europe
2022-08-15,22.5,13000000000.0,Language & Audio,Aleph Alpha,Europe
2022-08-13,20.0,40000000.0,Science & Engineering,"University of Montpellier,BionomeeX",Europe
2022-08-08,18.36,27000000.0,Language & Audio,"Zhejiang University (ZJU),Microsoft Research Asia",China
2022-08-04,23.55,130000000000.0,Language & Audio,Tsinghua University,China
2022-08-02,23.31,19750000000.0,Language & Audio,Amazon,United States
2022-07-27,21.61,738000000.0,Science & Engineering,University of Bayreuth,Europe
2022-07-22,22.01,670000000.0,Science & Engineering,"Massachusetts Institute of Technology (MIT),Westlake University",United States
2022-07-21,22.87,15000000000.0,Science & Engineering,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States
2022-07-21,22.48,3000000000.0,Science & Engineering,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States
2022-07-21,21.88,650000000.0,Science & Engineering,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States
2022-07-21,21.04,150000000.0,Science & Engineering,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States
2022-07-21,20.32,35000000.0,Science & Engineering,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States
2022-07-21,19.68,8000000.0,Science & Engineering,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",United States
2022-07-14,18.83,247000000.00000003,Language & Audio,"Moscow Institute of Physics and Technology,AIRI Artificial Intelligence Research Institute",Europe
2022-07-14,20.94,1200000000.0,Science & Engineering,"LightOn,Harvard University,University of Oxford",Europe
2022-07-11,23.56,176247271424.0,Language & Audio,"Hugging Face,BigScience",United States
2022-07-06,22.24,54500000000.0,Language & Audio,Meta AI,United States
2022-07-05,22.18,7070000000.0,Language & Audio,"Hugging Face,BigScience",United States
2022-07-05,21.43,770000000.0,Language & Audio,Salesforce,United States
2022-06-29,24.44,540350000000.0,Language & Audio,Google,United States
2022-06-27,22.13,6400000000.0,Science & Engineering,"Salesforce Research,Columbia University,Johns Hopkins University",United States
2022-06-27,21.04,764000000.0,Science & Engineering,"Salesforce Research,Columbia University,Johns Hopkins University",United States
2022-06-25,21.22,3500000000.0,Language & Audio,"AI Sweden,RISE",Europe
2022-06-23,23.34,100000000000.0,Language & Audio,Yandex,Europe
2022-06-22,23.71,20000000000.0,Vision & Media,Google Research,United States
2022-06-22,22.82,13000000000.0,Language & Audio,"Z.ai (Zhipu AI),Tsinghua University",China
2022-06-21,22.08,6700000000.0,Language & Audio,Meta AI,United States
2022-06-21,23.04,66000000000.0,Language & Audio,Meta AI,United States
2022-06-21,22.73,30000000000.0,Language & Audio,Meta AI,United States
2022-06-17,21.54,2925000000.0,Multimodal,"Allen Institute for AI,University of Washington",United States
2022-06-14,22.86,2100000000.0,Vision & Media,Google Research,United States
2022-06-13,18.35,74000000.0,Language & Audio,"Ruhr University Bochum,Technische Universität Dresden,University of London",Europe
2022-06-09,23.75,137000000000.0,Language & Audio,Google,United States
2022-06-06,22.26,5600000000.0,Multimodal,Google,United States
2022-06-06,18.52,750000000.0,Language & Audio,"Tsinghua University,Apple,Westlake University,Chinese University of Hong Kong (CUHK)",China
2022-05-27,21.86,700000000.0,Science & Engineering,"University of Oxford,Harvard Medical School,Cohere",Europe
2022-05-27,20.95,355000000.0,Language & Audio,"Stanford University,University at Buffalo",United States
2022-05-25,19.49,247000000.00000003,Language & Audio,Princeton University,United States
2022-05-25,17.31,7000000.0,Language & Audio,Princeton University,United States
2022-05-25,18.81,150000000.0,Language & Audio,Princeton University,United States
2022-05-23,22.16,7762000000.0,Vision & Media,Google Brain,United States
2022-05-12,21.6,1180000000.0,Multimodal,DeepMind,Europe
2022-05-10,23.08,20000000000.0,Language & Audio,"Google Research,Google Brain",United States
2022-05-02,23.63,175000000000.0,Language & Audio,Meta AI,United States
2022-05-02,23.55,13000000000.0,Other,Meta AI,United States
2022-04-29,23.34,80000000000.0,Multimodal,DeepMind,Europe
2022-04-28,22.36,6000000000.0,Vision & Media,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",China
2022-04-14,20.73,9410000000.0,Language & Audio,Meta AI,United States
2022-04-13,22.7,1450000000.0,Vision & Media,"Runway,Ludwig Maximilian University of Munich,Heidelberg University",United States
2022-04-06,23.53,3500000000.0,Vision & Media,OpenAI,United States
2022-04-04,24.4,540350000000.0,Language & Audio,Google Research,United States
2022-04-01,20.64,165000000.0,Language & Audio,"Stanford University,University at Buffalo,University of Michigan",United States
2022-04-01,19.95,72000000.0,Language & Audio,"Stanford University,University at Buffalo,University of Michigan",United States
2022-03-29,23.76,70000000000.0,Language & Audio,DeepMind,Europe
2022-03-24,21.81,4000000000.0,Vision & Media,Meta AI,United States
2022-03-23,18.86,357000000.0,Language & Audio,"Meta AI,Chinese University of Hong Kong (CUHK)",United States
2022-03-21,19.42,257000000.0,Language & Audio,"Microsoft Research,University of Waterloo",United States
2022-03-21,18.24,151000000.0,Language & Audio,"Microsoft Research,University of Waterloo",United States
2022-03-10,21.53,1843000000.0,Vision & Media,"University of Washington,Columbia University,Google,Meta AI,Tel Aviv University",United States
2022-03-07,22.11,6700000000.0,Language & Audio,"Microsoft,OpenAI",United States
2022-03-02,22.25,774000000.0,Multimodal,OpenAI,United States
2022-02-26,21.04,2700000000.0,Language & Audio,Carnegie Mellon University (CMU),United States
2022-02-17,23.46,269000000000.0,Language & Audio,"Google,Google Brain,Google Research",United States
2022-02-10,23.55,137000000000.0,Language & Audio,Google,United States
2022-02-09,22.97,20000000000.0,Language & Audio,EleutherAI,United States
2022-02-07,22.23,7500000000.0,Language & Audio,DeepMind,Europe
2022-02-02,23.38,41100000000.0,Language & Audio,DeepMind,Europe
2022-01-27,23.5,175000000000.0,Language & Audio,OpenAI,United States
2022-01-24,22.34,1900000000.0,Language & Audio,Google Brain,United States
2022-01-07,19.37,88000000.0,Vision & Media,"Meta AI,University of Texas at Austin",United States
2021-12-23,24.02,260000000000.0,Language & Audio,"Baidu,Peng Cheng Laboratory",China
