Region,Job Title,Job Openings (2024),Projected Openings (2030),Automation Risk (%),AI Impact Level,Job Status,Required Education,Job Growth,Sector
China,Food technologist,5007,16401,18.19,High,Decreasing,Master’s Degree,11394,Software & Platform
China,Forensic scientist,21235,19632,48.7,High,Increasing,Bachelor’s Degree,-1603,Software & Platform
China,Forest/woodland manager,9861,2326,52.45,High,Decreasing,PhD,-7535,Software & Platform
China,Further education lecturer,14908,17306,79.62,Moderate,Increasing,Master’s Degree,2398,Software & Platform
China,Gaffer,7393,3811,14.02,Moderate,Decreasing,PhD,-3582,Software & Platform
China,Games developer,4444,9636,5.81,Moderate,Decreasing,Master’s Degree,5192,Software & Platform
China,Geophysicist/field seismologist,5206,3104,18.8,Low,Decreasing,High School,-2102,Software & Platform
China,Geoscientist,14926,10208,43.22,Low,Decreasing,Associate Degree,-4718,Software & Platform
China,Graphic designer,6533,7801,21.33,Moderate,Increasing,Master’s Degree,1268,Software & Platform
China,Health and safety inspector,2188,7997,51.8,High,Increasing,Bachelor’s Degree,5809,Software & Platform
China,Health service manager,12656,6949,47.12,Moderate,Decreasing,Master’s Degree,-5707,Software & Platform
China,Herbalist,10846,6056,44.31,High,Decreasing,Bachelor’s Degree,-4790,Software & Platform
China,Heritage manager,22284,18075,30.86,Low,Increasing,PhD,-4209,Software & Platform
China,Historic buildings inspector/conservation officer,9585,892,86.24,Low,Decreasing,Associate Degree,-8693,Software & Platform
China,Hospital pharmacist,16685,20087,30.46,High,Decreasing,Master’s Degree,3402,Software & Platform
China,Housing manager/officer,10469,14699,75.84,Low,Increasing,Associate Degree,4230,Software & Platform
China,Hydrogeologist,8164,6995,27.04,Moderate,Increasing,Associate Degree,-1169,Software & Platform
China,Hydrographic surveyor,3678,4849,2.05,Low,Increasing,Bachelor’s Degree,1171,Software & Platform
China,Hydrologist,1739,3082,22.49,Low,Decreasing,High School,1343,Software & Platform
China,IT sales professional,13375,9634,56.57,Moderate,Increasing,Associate Degree,-3741,Software & Platform
China,IT technical support officer,7289,23407,67.06,Moderate,Increasing,Associate Degree,16118,Software & Platform
China,IT trainer,1738,8454,41.67,Moderate,Decreasing,PhD,6716,Software & Platform
China,Illustrator,3046,5948,16.68,Low,Decreasing,Bachelor’s Degree,2902,Software & Platform
China,Immigration officer,8229,3258,56.71,High,Decreasing,Associate Degree,-4971,Software & Platform
China,Industrial buyer,8270,8482,45.03,Moderate,Decreasing,PhD,212,Software & Platform
China,Information officer,12298,10226,73.09,Moderate,Increasing,Associate Degree,-2072,Software & Platform
China,Insurance broker,14576,10099,33.61,High,Decreasing,Master’s Degree,-4477,Software & Platform
China,Insurance claims handler,8210,4052,94.05,Low,Decreasing,High School,-4158,Software & Platform
China,International aid/development worker,652,6065,2.57,High,Decreasing,High School,5413,Software & Platform
China,"Investment banker, corporate",9111,5095,59.26,Low,Increasing,PhD,-4016,Software & Platform
China,Jewellery designer,2177,3221,89.86,Low,Increasing,Associate Degree,1044,Software & Platform
China,"Journalist, newspaper",7269,8720,55.74,High,Decreasing,High School,1451,Software & Platform
China,Land,8235,4059,14.2,High,Increasing,Master’s Degree,-4176,Software & Platform
China,Land/geomatics surveyor,1825,9970,1.94,Low,Increasing,Bachelor’s Degree,8145,Software & Platform
China,Lawyer,9728,4380,13.8,Moderate,Decreasing,PhD,-5348,Software & Platform
China,Learning disability nurse,2520,3131,40.28,High,Decreasing,Bachelor’s Degree,611,Software & Platform
China,"Lecturer, higher education",8665,1349,45.38,Low,Decreasing,High School,-7316,Software & Platform
China,Leisure centre manager,34838,24445,34.78,Moderate,Decreasing,PhD,-10393,Software & Platform
China,"Librarian, academic",10041,14966,50.17,Moderate,Increasing,PhD,4925,Software & Platform
China,"Lighting technician, broadcasting/film/video",22495,13500,45.23,High,Decreasing,Bachelor’s Degree,-8995,Software & Platform
China,Location manager,7411,11374,70.41,Low,Increasing,Associate Degree,3963,Software & Platform
China,Magazine features editor,27987,14881,51.71,Moderate,Decreasing,Associate Degree,-13106,Software & Platform
China,Maintenance engineer,9488,12837,44.21,Low,Decreasing,Master’s Degree,3349,Software & Platform
China,Make,8842,13452,25.15,Low,Decreasing,High School,4610,Software & Platform
China,Manufacturing systems engineer,8623,2282,17.46,Low,Increasing,PhD,-6341,Software & Platform
China,Materials engineer,5296,2016,50.14,High,Increasing,Associate Degree,-3280,Software & Platform
China,Media planner,10952,6835,36.42,High,Decreasing,Bachelor’s Degree,-4117,Software & Platform
China,Medical illustrator,7630,5438,83.62,Low,Increasing,PhD,-2192,Software & Platform
China,Medical laboratory scientific officer,17572,9339,39.14,Moderate,Decreasing,High School,-8233,Software & Platform
China,Medical secretary,177,1163,5.87,Low,Increasing,High School,986,Software & Platform
China,Mental health nurse,21141,18003,54.56,Low,Increasing,Master’s Degree,-3138,Software & Platform
China,Metallurgist,14227,6489,42.86,High,Decreasing,High School,-7738,Software & Platform
China,Meteorologist,4574,6529,57.51,Moderate,Decreasing,Bachelor’s Degree,1955,Software & Platform
China,Microbiologist,5166,8243,22.96,Moderate,Decreasing,PhD,3077,Software & Platform
China,Midwife,16938,28047,30.44,High,Increasing,Bachelor’s Degree,11109,Software & Platform
China,Minerals surveyor,2494,4118,45.0,High,Decreasing,PhD,1624,Software & Platform
China,Multimedia programmer,7580,7779,52.7,Low,Increasing,Bachelor’s Degree,199,Software & Platform
China,Museum education officer,5860,8133,46.74,High,Decreasing,Master’s Degree,2273,Software & Platform
China,Museum/gallery exhibitions officer,18173,14772,32.77,High,Decreasing,PhD,-3401,Software & Platform
China,Music tutor,15789,30183,39.22,Moderate,Decreasing,Associate Degree,14394,Software & Platform
China,Neurosurgeon,3935,9095,97.14,Moderate,Increasing,PhD,5160,Software & Platform
China,"Nurse, children's",9671,6560,96.79,Low,Increasing,Bachelor’s Degree,-3111,Software & Platform
China,"Nurse, learning disability",10101,12228,57.56,Moderate,Increasing,High School,2127,Software & Platform
China,"Nurse, mental health",6940,16306,48.04,Low,Decreasing,Associate Degree,9366,Software & Platform
China,Nutritional therapist,5330,4749,53.94,Moderate,Decreasing,High School,-581,Software & Platform
China,Office manager,7951,6498,53.76,High,Decreasing,Master’s Degree,-1453,Software & Platform
China,Operational investment banker,1516,6372,98.05,Moderate,Decreasing,PhD,4856,Software & Platform
China,Ophthalmologist,11818,8175,17.87,High,Increasing,PhD,-3643,Software & Platform
China,"Optician, dispensing",3528,1389,27.91,Moderate,Increasing,PhD,-2139,Software & Platform
China,Osteopath,13028,10849,54.05,High,Decreasing,Bachelor’s Degree,-2179,Software & Platform
China,Outdoor activities/education manager,3567,5114,55.94,Moderate,Decreasing,Associate Degree,1547,Software & Platform
China,Passenger transport manager,1990,8992,94.45,High,Increasing,High School,7002,Software & Platform
China,Patent examiner,5664,5257,1.98,Moderate,Increasing,Bachelor’s Degree,-407,Software & Platform
China,Pathologist,7841,1782,15.32,Low,Increasing,High School,-6059,Software & Platform
China,Pensions consultant,8662,4299,75.66,High,Decreasing,Bachelor’s Degree,-4363,Software & Platform
China,Photographer,14198,7549,72.23,Low,Increasing,Associate Degree,-6649,Software & Platform
China,Planning and development surveyor,1018,1712,32.02,Low,Increasing,PhD,694,Software & Platform
China,Podiatrist,4824,3964,38.84,Low,Decreasing,Associate Degree,-860,Software & Platform
China,Police officer,25125,8511,41.69,Low,Increasing,Master’s Degree,-16614,Software & Platform
China,Politician's assistant,3548,7899,20.53,Moderate,Decreasing,High School,4351,Software & Platform
China,"Presenter, broadcasting",3636,3954,10.5,Low,Decreasing,High School,318,Software & Platform
China,Primary school teacher,5869,7969,92.6,High,Decreasing,High School,2100,Software & Platform
China,Prison officer,10876,5616,67.31,Moderate,Decreasing,Bachelor’s Degree,-5260,Software & Platform
China,Private music teacher,9225,478,1.75,High,Increasing,Master’s Degree,-8747,Software & Platform
China,Probation officer,2682,7545,26.5,High,Increasing,Bachelor’s Degree,4863,Software & Platform
China,"Production assistant, radio",7352,8075,66.61,Moderate,Decreasing,Bachelor’s Degree,723,Software & Platform
China,"Production assistant, television",9711,466,37.46,Moderate,Increasing,Bachelor’s Degree,-9245,Software & Platform
China,Production engineer,1097,1739,80.98,High,Decreasing,Bachelor’s Degree,642,Software & Platform
China,Production manager,5405,4316,14.37,High,Increasing,High School,-1089,Software & Platform
China,Professor Emeritus,9013,6868,78.93,High,Increasing,Master’s Degree,-2145,Software & Platform
China,"Programmer, systems",9025,755,29.54,Moderate,Decreasing,High School,-8270,Software & Platform
China,Psychiatric nurse,7833,1753,85.12,High,Increasing,Master’s Degree,-6080,Software & Platform
China,Psychiatrist,5538,5897,48.64,High,Increasing,High School,359,Software & Platform
China,"Psychologist, clinical",505,2330,63.56,Moderate,Increasing,Bachelor’s Degree,1825,Software & Platform
China,"Psychologist, educational",1781,687,71.19,Moderate,Increasing,Associate Degree,-1094,Software & Platform
China,"Psychologist, forensic",9507,6126,58.77,Moderate,Increasing,Master’s Degree,-3381,Software & Platform
China,"Psychologist, sport and exercise",7994,1472,5.68,Low,Decreasing,Bachelor’s Degree,-6522,Software & Platform
China,Psychotherapist,4635,5314,61.05,High,Decreasing,Master’s Degree,679,Software & Platform
China,"Psychotherapist, dance movement",15224,5913,44.76,Low,Increasing,High School,-9311,Software & Platform
China,Public affairs consultant,8590,7981,13.83,Low,Decreasing,Associate Degree,-609,Software & Platform
China,Public librarian,16166,4599,45.51,Moderate,Decreasing,PhD,-11567,Software & Platform
China,Public relations account executive,2817,1778,7.53,Moderate,Increasing,Associate Degree,-1039,Software & Platform
China,Public relations officer,3623,11803,37.89,Low,Decreasing,Bachelor’s Degree,8180,Software & Platform
China,Publishing copy,9872,1142,22.34,High,Increasing,Master’s Degree,-8730,Software & Platform
China,Publishing rights manager,5047,7046,82.17,High,Decreasing,PhD,1999,Software & Platform
China,Purchasing manager,8233,460,52.15,High,Increasing,Associate Degree,-7773,Software & Platform
China,Race relations officer,2453,9744,17.3,Low,Increasing,PhD,7291,Software & Platform
China,Radiation protection practitioner,5790,2817,25.89,Low,Increasing,PhD,-2973,Software & Platform
China,Radio broadcast assistant,2812,5197,23.79,Low,Increasing,PhD,2385,Software & Platform
China,"Radiographer, diagnostic",6252,14610,54.24,Low,Increasing,PhD,8358,Software & Platform
China,Recruitment consultant,11050,10170,96.56,High,Decreasing,Bachelor’s Degree,-880,Software & Platform
China,Recycling officer,5410,1148,99.57,High,Decreasing,Bachelor’s Degree,-4262,Software & Platform
China,Regulatory affairs officer,1460,7081,95.48,Moderate,Decreasing,PhD,5621,Software & Platform
China,"Research officer, trade union",1666,3343,50.41,Low,Decreasing,PhD,1677,Software & Platform
China,Research scientist (maths),7961,5459,6.18,High,Decreasing,High School,-2502,Software & Platform
China,Research scientist (physical sciences),1683,3562,94.68,High,Increasing,Master’s Degree,1879,Software & Platform
China,Restaurant manager,2140,7888,34.43,Low,Decreasing,Bachelor’s Degree,5748,Software & Platform
China,"Restaurant manager, fast food",1202,4832,29.19,Low,Increasing,Bachelor’s Degree,3630,Software & Platform
China,Retail manager,9366,9068,94.31,High,Decreasing,Master’s Degree,-298,Software & Platform
China,Rural practice surveyor,5040,6876,15.9,High,Decreasing,PhD,1836,Software & Platform
China,Sales executive,6096,4151,10.86,Low,Decreasing,PhD,-1945,Software & Platform
China,"Sales professional, IT",3592,4191,31.17,High,Increasing,PhD,599,Software & Platform
China,Sales promotion account executive,6231,9452,3.19,Moderate,Increasing,Associate Degree,3221,Software & Platform
China,Science writer,8320,6486,45.16,High,Increasing,High School,-1834,Software & Platform
China,Scientific laboratory technician,9623,304,20.77,Low,Decreasing,Master’s Degree,-9319,Software & Platform
China,"Scientist, audiological",16215,16523,43.48,Moderate,Increasing,Bachelor’s Degree,308,Software & Platform
China,"Scientist, clinical (histocompatibility and immunogenetics)",4879,5144,74.43,Moderate,Decreasing,PhD,265,Software & Platform
China,"Scientist, marine",4461,7918,61.54,Moderate,Increasing,PhD,3457,Software & Platform
China,"Scientist, research (physical sciences)",1641,9496,89.75,High,Increasing,Associate Degree,7855,Software & Platform
China,Secondary school teacher,1452,3270,90.8,Low,Decreasing,High School,1818,Software & Platform
China,"Secretary, company",10549,6087,20.9,Low,Decreasing,PhD,-4462,Software & Platform
China,Secretary/administrator,463,4082,35.74,Low,Increasing,High School,3619,Software & Platform
China,Senior tax professional/tax inspector,5660,2293,70.78,Moderate,Decreasing,Master’s Degree,-3367,Software & Platform
China,Set designer,6544,4737,67.2,Moderate,Increasing,Bachelor’s Degree,-1807,Software & Platform
China,Ship broker,6816,1415,38.72,Moderate,Decreasing,Master’s Degree,-5401,Software & Platform
China,"Social research officer, government",2177,8378,32.13,Low,Increasing,Bachelor’s Degree,6201,Software & Platform
China,Social researcher,705,5981,36.94,Moderate,Increasing,Bachelor’s Degree,5276,Software & Platform
China,Soil scientist,8761,12245,49.11,High,Decreasing,High School,3484,Software & Platform
China,Special educational needs teacher,714,1654,10.14,High,Increasing,Bachelor’s Degree,940,Software & Platform
China,Sport and exercise psychologist,9307,12497,77.24,Moderate,Decreasing,Associate Degree,3190,Software & Platform
China,Sports administrator,15129,14438,12.34,Low,Increasing,Bachelor’s Degree,-691,Software & Platform
China,Stage manager,8006,5552,69.4,Moderate,Increasing,Associate Degree,-2454,Software & Platform
China,Sub,15863,4917,58.24,Low,Decreasing,Bachelor’s Degree,-10946,Software & Platform
China,"Surveyor, building",6867,4124,15.51,Moderate,Decreasing,High School,-2743,Software & Platform
China,"Surveyor, insurance",9930,9241,28.16,Moderate,Increasing,Associate Degree,-689,Software & Platform
China,"Surveyor, land/geomatics",4856,4965,80.05,Moderate,Decreasing,Associate Degree,109,Software & Platform
China,"Surveyor, mining",6858,410,90.61,High,Increasing,PhD,-6448,Software & Platform
China,"Surveyor, planning and development",6418,4175,69.52,Moderate,Decreasing,High School,-2243,Software & Platform
China,Systems developer,226,9491,95.01,Low,Decreasing,Bachelor’s Degree,9265,Software & Platform
China,TEFL teacher,391,2513,87.81,Low,Decreasing,Master’s Degree,2122,Software & Platform
China,Tax adviser,8509,17547,46.63,Moderate,Decreasing,PhD,9038,Software & Platform
China,"Teacher, adult education",6625,9333,75.24,High,Increasing,PhD,2708,Software & Platform
China,"Teacher, early years/pre",6356,8033,35.42,Moderate,Increasing,Master’s Degree,1677,Software & Platform
China,"Teacher, primary school",15183,11627,69.68,Low,Increasing,Associate Degree,-3556,Software & Platform
China,"Teacher, special educational needs",5517,10725,55.28,High,Increasing,PhD,5208,Software & Platform
China,Teaching laboratory technician,7110,6841,39.81,High,Decreasing,High School,-269,Software & Platform
China,Technical author,11029,8168,90.52,Moderate,Decreasing,Associate Degree,-2861,Software & Platform
China,Technical sales engineer,16401,13673,60.56,Moderate,Increasing,Master’s Degree,-2728,Software & Platform
China,Telecommunications researcher,10239,16536,40.71,Low,Increasing,Master’s Degree,6297,Software & Platform
